Food,Grams,Protein,Fat,Carbs,Healthiness_Score
Beef,100,27.058823529411764,18.823529411764707,0.0,10.88235294117647
Hamburger,100,24.705882352941178,20.0,0.0,8.529411764705884
Ground lean,100,28.235294117647058,11.76470588235294,0.0,15.294117647058822
Roast beef,100,18.823529411764707,42.35294117647059,0.0,-7.0588235294117645
Steak,100,23.52941176470588,31.76470588235294,0.0,1.7647058823529402
"Steak, lean, as round",100,28.235294117647058,14.117647058823529,0.0,14.117647058823529
Corned beef,100,25.882352941176475,11.76470588235294,0.0,13.529411764705884
Corned beef hash canned,100,14.117647058823529,9.411764705882353,7.0588235294117645,7.64705882352941
Corned beef hash Dried,100,33.92857142857143,7.142857142857142,0.0,21.875
Pot-pie,100,7.929515418502203,12.334801762114537,14.096916299559473,3.3039647577092524
Corned beef hash Stew,100,6.382978723404255,4.25531914893617,6.382978723404255,4.25531914893617
chicken,100,27.058823529411764,10.588235294117647,0.0,15.0
"Fried, breast or leg and thigh chicken",100,29.411764705882355,17.647058823529413,0.0,13.235294117647062
Roasted chicken,100,25.0,20.0,0.0,8.75
"Chicken livers, fried",100,22.0,14.000000000000002,2.3,10.075
"Duck, domestic",100,16.0,28.000000000000004,0.0,-2.0000000000000018
